order_id,customer_id,order_date,status
1,377,2024-07-06,completed
2,280,2024-10-10,completed
3,426,2024-12-22,returned
4,246,2024-10-12,completed
5,33,2024-12-24,completed
6,23,2024-07-28,completed
7,478,2024-08-24,cancelled
8,243,2024-10-02,returned
9,98,2024-12-01,completed
10,444,2024-10-24,completed
11,410,2024-08-22,shipped
12,381,2024-10-26,shipped
13,174,2024-06-23,shipped
14,189,2024-10-28,completed
15,373,2024-08-08,cancelled
16,422,2024-06-30,completed
17,53,2024-02-19,completed
18,157,2024-09-17,shipped
19,86,2024-11-07,shipped
20,22,2024-10-03,shipped
21,141,2024-10-23,completed
22,39,2024-09-20,returned
23,348,2024-06-05,completed
24,435,2024-12-23,shipped
25,18,2024-11-07,returned
26,188,2024-10-21,cancelled
27,17,2024-12-20,shipped
28,486,2024-07-29,completed
29,294,2024-04-26,shipped
30,161,2024-08-16,completed
31,14,2024-11-19,cancelled
32,199,2024-12-16,completed
33,361,2024-09-18,cancelled
34,147,2024-12-14,completed
35,437,2024-09-24,returned
36,228,2024-11-26,completed
37,342,2024-09-18,cancelled
38,278,2024-11-15,completed
39,365,2024-07-09,cancelled
40,115,2024-06-15,completed
41,122,2024-11-24,cancelled
42,294,2024-08-22,cancelled
43,67,2024-12-09,completed
44,159,2024-11-23,returned
45,246,2024-09-15,shipped
46,422,2024-10-09,completed
47,329,2024-10-18,returned
48,265,2024-08-22,cancelled
49,328,2024-12-16,completed
50,222,2024-09-09,completed
51,426,2024-09-29,completed
52,85,2024-06-15,returned
53,116,2024-10-29,cancelled
54,459,2024-12-02,completed
55,101,2024-11-18,completed
56,65,2024-12-29,cancelled
57,48,2024-11-19,cancelled
58,483,2024-06-16,cancelled
59,369,2024-12-22,cancelled
60,22,2024-07-12,returned
61,395,2024-10-28,completed
62,393,2024-11-09,returned
63,16,2024-10-21,cancelled
64,149,2024-11-29,shipped
65,126,2024-11-29,shipped
66,153,2024-12-07,completed
67,81,2024-10-02,shipped
68,105,2024-08-13,completed
69,442,2024-10-12,completed
70,500,2024-10-06,completed
71,264,2024-09-29,completed
72,239,2024-06-12,completed
73,73,2024-09-01,shipped
74,443,2024-11-13,completed
75,417,2024-06-17,returned
76,161,2024-07-02,shipped
77,264,2024-09-05,completed
78,255,2024-09-27,shipped
79,259,2024-09-18,completed
80,299,2024-11-09,completed
81,254,2024-11-19,returned
82,345,2024-12-16,completed
83,434,2024-06-16,completed
84,373,2024-07-24,completed
85,24,2024-12-22,cancelled
86,100,2024-08-13,completed
87,198,2024-09-29,cancelled
88,144,2024-09-10,completed
89,202,2024-12-01,completed
90,286,2024-12-20,completed
91,309,2024-11-16,completed
92,24,2024-11-29,completed
93,412,2024-09-24,completed
94,311,2024-10-05,cancelled
95,164,2024-07-18,cancelled
96,379,2024-08-31,cancelled
97,425,2024-11-23,returned
98,289,2024-08-11,completed
99,189,2024-09-10,shipped
100,299,2024-10-28,returned
101,447,2024-12-17,shipped
102,136,2024-12-27,cancelled
103,296,2024-07-14,cancelled
104,246,2024-06-16,returned
105,318,2024-12-13,completed
106,421,2024-11-28,returned
107,57,2024-06-10,completed
108,215,2024-05-29,completed
109,211,2024-12-31,shipped
110,447,2024-07-24,cancelled
111,107,2024-11-18,returned
112,245,2024-10-11,completed
113,236,2024-12-12,completed
114,347,2024-11-13,returned
115,330,2024-10-27,completed
116,491,2024-08-01,completed
117,116,2024-10-23,returned
118,107,2024-10-12,completed
119,287,2024-07-31,cancelled
120,347,2024-09-16,shipped
121,420,2024-08-31,completed
122,149,2024-06-28,returned
123,41,2024-10-10,returned
124,132,2024-11-14,completed
125,424,2024-11-03,cancelled
126,357,2024-07-11,cancelled
127,380,2024-08-12,returned
128,464,2024-12-22,completed
129,27,2024-11-29,returned
130,242,2024-08-21,completed
131,3,2024-11-29,completed
132,209,2024-12-09,shipped
133,245,2024-11-12,completed
134,165,2024-08-09,completed
135,334,2024-12-09,returned
136,371,2024-12-28,completed
137,214,2024-12-20,completed
138,429,2024-08-06,completed
139,480,2024-12-11,completed
140,449,2024-10-18,cancelled
141,309,2024-09-25,completed
142,146,2024-11-25,cancelled
143,269,2024-11-08,completed
144,436,2024-12-03,completed
145,415,2024-06-12,returned
146,235,2024-10-16,completed
147,8,2024-11-18,cancelled
148,346,2024-10-28,returned
149,460,2024-12-02,cancelled
150,168,2024-11-01,completed
151,95,2024-11-08,completed
